date,open,high,low,close,volume,hold,settle
2020-04-08,3715.2,3733.8,3704.4,3719.6,13052,39488,0.0
2020-04-09,3740.0,3743.6,3723.0,3726.4,10380,39792,0.0
2020-04-10,3730.0,3755.0,3691.0,3710.2,16478,42003,0.0
2020-04-13,3688.0,3704.4,3681.4,3686.0,11804,40427,0.0
2020-04-14,3705.6,3742.0,3700.0,3742.0,13409,41887,0.0
2020-04-15,3741.8,3755.6,3724.2,3726.4,11512,41310,0.0
2020-04-16,3717.0,3743.4,3713.6,3735.2,12812,42827,0.0
2020-04-17,3764.0,3796.2,3752.4,3756.6,19419,46520,0.0
2020-04-20,3760.2,3773.6,3747.6,3770.0,12914,43659,0.0
2020-04-21,3768.8,3768.8,3690.6,3724.8,20621,45606,0.0
2020-04-22,3708.0,3760.8,3700.2,3758.8,16173,42806,0.0
2020-04-23,3769.8,3771.0,3732.0,3744.0,13365,42721,0.0
2020-04-24,3730.0,3738.8,3718.0,3731.6,13515,42160,0.0
2020-04-27,3739.8,3786.8,3731.6,3755.6,18369,46316,0.0
2020-04-28,3767.2,3795.4,3706.2,3777.8,19373,45611,0.0
2020-04-29,3777.2,3809.8,3772.6,3800.4,12095,44201,0.0
2020-04-30,3821.0,3878.8,3818.0,3875.6,18522,46696,0.0
2020-05-06,3839.8,3890.6,3827.0,3882.0,16541,45842,0.0
2020-05-07,3881.2,3886.4,3859.0,3872.0,12292,45774,0.0
2020-05-08,3890.0,3936.0,3887.2,3913.6,18938,48780,0.0
2020-05-11,3929.8,3956.0,3902.0,3908.8,18195,49572,0.0
2020-05-12,3913.0,3927.0,3883.6,3902.0,24847,54598,0.0
2020-05-13,3880.0,3921.6,3878.0,3915.0,32396,63383,0.0
2020-05-14,3898.0,3900.0,3871.6,3882.4,53605,84925,0.0
2020-05-15,3901.4,3906.0,3861.0,3861.0,77917,102819,0.0
2020-05-18,3871.8,3910.0,3856.8,3881.4,87290,103433,0.0
2020-05-19,3918.0,3930.8,3902.4,3911.8,66784,96478,0.0
2020-05-20,3916.2,3917.8,3891.8,3898.6,63599,98118,0.0
2020-05-21,3908.0,3913.4,3868.6,3870.2,67235,98956,0.0
2020-05-22,3861.0,3866.0,3778.0,3783.0,92219,110068,0.0
2020-05-25,3794.0,3801.4,3768.6,3792.6,74088,96201,0.0
2020-05-26,3813.0,3832.0,3808.8,3828.8,65443,95903,0.0
2020-05-27,3824.0,3826.6,3798.0,3811.2,63082,95894,0.0
2020-05-28,3812.8,3855.8,3777.4,3815.8,100809,111706,0.0
2020-05-29,3795.4,3838.4,3790.6,3820.0,75609,95329,0.0
2020-06-01,3871.0,3948.6,3870.0,3938.8,85326,100552,0.0
2020-06-02,3940.0,3964.4,3931.0,3955.0,64896,89768,0.0
2020-06-03,3978.0,3997.8,3950.8,3951.0,73738,94216,0.0
2020-06-04,3970.0,3972.0,3941.4,3952.0,61208,86138,0.0
2020-06-05,3962.0,3979.8,3938.6,3979.0,64971,90595,0.0
2020-06-08,3995.0,4024.6,3982.6,3991.4,73774,89523,0.0
2020-06-09,3992.8,4026.0,3986.0,4014.8,74332,88701,0.0
2020-06-10,4020.0,4020.0,3999.0,4013.8,62926,77319,0.0
2020-06-11,4005.0,4024.0,3946.8,3965.0,88133,87370,0.0
2020-06-12,3925.2,4004.0,3920.0,3986.2,85018,77355,0.0
2020-06-15,3966.0,3987.6,3926.6,3929.4,81545,72651,0.0
2020-06-16,3980.0,4005.8,3974.2,4000.0,72249,58817,0.0
2020-06-17,3996.8,4009.0,3979.6,4007.0,55438,46564,0.0
2020-06-18,4000.0,4048.0,3991.8,4042.0,47873,24807,0.0
2020-06-19,4045.0,4099.8,4041.0,4094.8,22171,7190,0.0
